FILM;ID ACTEUR
tt0082449;nm0913738
tt0082449;nm0000481
tt0082449;nm0000001
tt0077898;nm0121400
tt0077898;nm0125956
tt0076984;nm0001296
tt0076984;nm0368745
tt0076984;nm0070767
tt0077536;nm0371040
tt0077536;nm0956544
tt0076851;nm0001648
tt0076851;nm0634159
tt0076851;nm0001811
tt0075971;nm0385830
tt0075971;nm0568657
tt0074130;nm0002082
tt0074130;nm0001174
tt0072308;nm0000056
tt0072308;nm0000537
tt0072308;nm0000034
tt0066327;nm0001682
tt0066327;nm0943978
tt0066194;nm0000974
tt0066194;nm0118000
tt0062572;nm0001822
tt0062572;nm0861943
tt0064664;nm0001077
tt0064664;nm0382391
tt0062974;nm0164379
